Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_10752_reg_8_20251129_175032;10752;8;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;22;0;384;8;0;0;0;0;sm_70
compile_size_10752_reg_8_20251129_175032;10752;8;_Z21antColonyOptimizationPdS_PiS_S_S_S0_S;antColonyOptimization;24;0;416;40;0;4800;480;4800;sm_70
compile_size_10752_reg_8_20251129_175032;10752;8;;;24;20480;376;0;0;324040;3240;324040;sm_70
compile_size_10752_reg_8_20251129_175032;10752;8;;;14;0;360;0;0;0;0;0;sm_70
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
compile_size_10752_reg_96_20251128_132206;10752;96;_Z20parallelACOIterationPKdPKiPdS3_S3_S3_S3_PiS3_S3_S3_S4_S3;parallelACOIteration;64;20480;456;48;0;4800;480;4800;sm_70
compile_size_10752_reg_96_20251128_132206;10752;96;_Z26updateAndComputePheromonesPKdPKiPdS3_S3;updateAndComputePheromones;34;20480;392;8;0;0;0;0;sm_70
compile_size_10752_reg_96_20251128_132206;10752;96;_Z16updatePheromonesPKdPKiPdS3;updatePheromones;26;0;384;8;0;0;0;0;sm_70
compile_size_10752_reg_96_20251128_132206;10752;96;_Z21antColonyOptimizationPdS_PiS_S_S_S0_S;antColonyOptimization;94;0;416;40;0;4800;480;4800;sm_70
compile_size_10752_reg_96_20251128_132206;10752;96;;;34;20480;376;0;0;0;0;0;sm_70
compile_size_10752_reg_96_20251128_132206;10752;96;;;14;0;360;0;0;0;0;0;sm_70
Config;GraphSize;RegisterCount;Function;DemangledName;Registers;SMem_Bytes;CMem_Bank0;CMem_Bank2;CMem_Bank3;Stack_Frame;Spill_Stores;Spill_Loads;Architecture
