omp; 26; 1300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 841.069312; 76.382089; GPU Time 2 Mean:; 839.936277; 75.828978; GPU Time 3 Mean:; 43.367502; 0.771069; GPU Time 4 Mean:; 240.727431; 11.454213; GPU Time 5 Mean:; 62.850537; 1.271527; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999854; 0.000000; Hash Fail Count Mean:; 21.080000; 55.273600;
omp; 27; 1350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 873.430778; 79.051333; GPU Time 2 Mean:; 872.254009; 78.472803; GPU Time 3 Mean:; 45.024368; 0.767342; GPU Time 4 Mean:; 250.014243; 11.875524; GPU Time 5 Mean:; 65.273454; 1.313167; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999858; 0.000000; Hash Fail Count Mean:; 22.880000; 58.465600;
omp; 28; 1400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 905.820926; 82.075592; GPU Time 2 Mean:; 904.602080; 81.504570; GPU Time 3 Mean:; 46.682764; 0.767755; GPU Time 4 Mean:; 259.313599; 12.150677; GPU Time 5 Mean:; 67.693641; 1.342726; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999860; 0.000000; Hash Fail Count Mean:; 24.860000; 62.980400;
omp; 29; 1450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 938.135362; 83.097600; GPU Time 2 Mean:; 936.872462; 82.516891; GPU Time 3 Mean:; 48.331298; 0.767432; GPU Time 4 Mean:; 268.599118; 12.246633; GPU Time 5 Mean:; 70.100376; 1.347674; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999866; 0.000000; Hash Fail Count Mean:; 26.890000; 67.107900;
omp; 30; 1500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 970.576186; 81.377903; GPU Time 2 Mean:; 969.269515; 80.827101; GPU Time 3 Mean:; 49.987638; 0.773670; GPU Time 4 Mean:; 277.886686; 11.946239; GPU Time 5 Mean:; 72.502226; 1.345696; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999872; 0.000000; Hash Fail Count Mean:; 28.940000; 71.196400;
omp; 31; 1550; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1002.985041; 85.973942; GPU Time 2 Mean:; 1001.635980; 85.438354; GPU Time 3 Mean:; 51.663570; 0.804714; GPU Time 4 Mean:; 287.171085; 12.439475; GPU Time 5 Mean:; 74.919024; 1.380556; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999877; 0.000000; Hash Fail Count Mean:; 31.040000; 78.318400;
omp; 32; 1600; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1035.337840; 95.027316; GPU Time 2 Mean:; 1033.944555; 94.429469; GPU Time 3 Mean:; 53.334996; 0.816867; GPU Time 4 Mean:; 296.443651; 13.622110; GPU Time 5 Mean:; 77.352332; 1.466744; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999882; 0.000000; Hash Fail Count Mean:; 33.430000; 86.055100;
omp; 33; 1650; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1067.788573; 101.753724; GPU Time 2 Mean:; 1066.352701; 101.137410; GPU Time 3 Mean:; 54.987964; 0.837633; GPU Time 4 Mean:; 305.791618; 14.640676; GPU Time 5 Mean:; 79.800381; 1.574641; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999885; 0.000000; Hash Fail Count Mean:; 35.740000; 96.052400;
omp; 34; 1700; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1100.192212; 106.890969; GPU Time 2 Mean:; 1098.711865; 106.211434; GPU Time 3 Mean:; 56.668659; 0.856624; GPU Time 4 Mean:; 315.115054; 15.445959; GPU Time 5 Mean:; 82.216569; 1.602630; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999886; 0.000000; Hash Fail Count Mean:; 37.980000; 105.639600;
omp; 35; 1750; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1132.518265; 112.357779; GPU Time 2 Mean:; 1130.995421; 111.702349; GPU Time 3 Mean:; 58.339272; 0.905177; GPU Time 4 Mean:; 324.344992; 16.168249; GPU Time 5 Mean:; 84.618877; 1.626650; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999888; 0.000000; Hash Fail Count Mean:; 40.320000; 113.337600;
omp; 36; 1800; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1164.847514; 115.854907; GPU Time 2 Mean:; 1163.282320; 115.232919; GPU Time 3 Mean:; 60.007173; 0.938000; GPU Time 4 Mean:; 333.631989; 17.057606; GPU Time 5 Mean:; 87.025996; 1.686898; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999889; 0.000000; Hash Fail Count Mean:; 42.720000; 128.441600;
omp; 37; 1850; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1197.156029; 119.057809; GPU Time 2 Mean:; 1195.548562; 118.440657; GPU Time 3 Mean:; 61.678674; 0.940428; GPU Time 4 Mean:; 342.902594; 17.370348; GPU Time 5 Mean:; 89.425612; 1.704716; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999892; 0.000000; Hash Fail Count Mean:; 45.700000; 134.430000;
omp; 38; 1900; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1229.556670; 123.954670; GPU Time 2 Mean:; 1227.906185; 123.355110; GPU Time 3 Mean:; 63.344722; 0.954298; GPU Time 4 Mean:; 352.236327; 17.784695; GPU Time 5 Mean:; 91.848998; 1.812286; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999893; 0.000000; Hash Fail Count Mean:; 48.620000; 152.935600;
omp; 39; 1950; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1262.048699; 126.178307; GPU Time 2 Mean:; 1260.354484; 125.526755; GPU Time 3 Mean:; 65.011135; 0.965619; GPU Time 4 Mean:; 361.561854; 17.848246; GPU Time 5 Mean:; 94.288110; 1.846545; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999894; 0.000000; Hash Fail Count Mean:; 51.810000; 168.223900;
omp; 40; 2000; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1294.377833; 131.038759; GPU Time 2 Mean:; 1292.641141; 130.387794; GPU Time 3 Mean:; 66.662450; 0.996768; GPU Time 4 Mean:; 370.856071; 18.236106; GPU Time 5 Mean:; 96.698381; 1.864789; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999902; 0.000000; Hash Fail Count Mean:; 54.800000; 184.000000;
omp; 41; 2050; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1326.766369; 137.201900; GPU Time 2 Mean:; 1324.987475; 136.576852; GPU Time 3 Mean:; 68.324426; 1.017423; GPU Time 4 Mean:; 380.195210; 18.912795; GPU Time 5 Mean:; 99.096219; 1.894155; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999903; 0.000000; Hash Fail Count Mean:; 57.710000; 201.215900;
omp; 42; 2100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1359.027364; 140.982684; GPU Time 2 Mean:; 1357.204664; 140.363876; GPU Time 3 Mean:; 69.980264; 1.026935; GPU Time 4 Mean:; 389.514696; 19.774756; GPU Time 5 Mean:; 101.513138; 1.920239; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.001230; 0.000000; Global Max Mean:; 0.999906; 0.000000; Hash Fail Count Mean:; 60.810000; 220.123900;
