non CUDA; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 250.783260; 24.802432; GPU Time 2 Mean:; 250.499366; 24.649080; GPU Time 3 Mean:; 20.600886; 0.554432; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 22.510714; 0.491094; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.818187; 0.060465; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3838.192662; 5946.257979; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 498.793512; 76.753217; GPU Time 2 Mean:; 498.217016; 76.137490; GPU Time 3 Mean:; 41.068030; 1.490363; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 44.835484; 1.078705; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.768302; 0.055938; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3891.199090; 6046.713366; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 748.088040; 121.904310; GPU Time 2 Mean:; 747.227400; 120.770213; GPU Time 3 Mean:; 61.783286; 2.446402; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 67.230398; 1.749050; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.737691; 0.052134; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3915.883614; 5043.958628; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 997.142524; 191.581583; GPU Time 2 Mean:; 996.008952; 189.840669; GPU Time 3 Mean:; 82.289718; 3.564984; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 89.650356; 2.210737; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.726671; 0.052378; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3941.628860; 5098.059607; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1246.082556; 267.760027; GPU Time 2 Mean:; 1244.663460; 265.614584; GPU Time 3 Mean:; 102.940068; 5.238464; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 111.993034; 2.658498; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.459155; 3.452539; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3956.966926; 4133.265052; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1494.486388; 353.112593; GPU Time 2 Mean:; 1492.786966; 350.212372; GPU Time 3 Mean:; 123.602692; 9.223770; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 134.309710; 3.119533; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 13.459155; 3.452539; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 3974.860418; 3569.142780; Hash Fail Count Mean:; 0.000000; 0.000000;
