Time non CUDA AVX add CPU time 4; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 411.913950; 4.911249; GPU Time 2 Mean:; 402.436251; 4.953645; GPU Time 3 Mean:; 58.030845; 0.841626; GPU Time 4 Mean:; 9.573636; 0.004402; GPU Time 5 Mean:; 327.695828; 2.604174; GPU Time 6 Mean:; 0.124586; 0.000593; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.194706; 0.000150; Global Max Mean:; 0.808208; 0.000167; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 617.417101; 9.224208; GPU Time 2 Mean:; 603.230314; 9.287238; GPU Time 3 Mean:; 87.064889; 2.033882; GPU Time 4 Mean:; 14.335004; 0.011860; GPU Time 5 Mean:; 491.118294; 4.871709; GPU Time 6 Mean:; 0.185550; 0.000915; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.189679; 0.000121; Global Max Mean:; 0.810535; 0.000138; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 823.193435; 16.555336; GPU Time 2 Mean:; 804.287247; 16.696790; GPU Time 3 Mean:; 116.233994; 3.626732; GPU Time 4 Mean:; 19.089032; 0.025374; GPU Time 5 Mean:; 654.676393; 9.049926; GPU Time 6 Mean:; 0.247260; 0.001445; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.186326; 0.000083; Global Max Mean:; 0.812537; 0.000138; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1028.984265; 23.229939; GPU Time 2 Mean:; 1005.356095; 23.353127; GPU Time 3 Mean:; 145.401956; 4.415663; GPU Time 4 Mean:; 23.857059; 0.028240; GPU Time 5 Mean:; 818.221097; 13.163008; GPU Time 6 Mean:; 0.308220; 0.002351; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.181734; 0.000050; Global Max Mean:; 0.813226; 0.000148; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1234.689893; 34.243690; GPU Time 2 Mean:; 1206.344250; 34.686535; GPU Time 3 Mean:; 174.599602; 6.239898; GPU Time 4 Mean:; 28.618922; 0.029743; GPU Time 5 Mean:; 981.698152; 19.033599; GPU Time 6 Mean:; 0.369420; 0.003407; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.180006; 0.000060; Global Max Mean:; 0.816009; 0.000174; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 7; 175; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1440.453723; 46.857941; GPU Time 2 Mean:; 1407.378860; 47.438580; GPU Time 3 Mean:; 203.811031; 8.727967; GPU Time 4 Mean:; 33.389766; 0.029786; GPU Time 5 Mean:; 1145.222859; 25.976582; GPU Time 6 Mean:; 0.430476; 0.004745; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.179191; 0.000051; Global Max Mean:; 0.818718; 0.000181; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1646.166697; 59.967581; GPU Time 2 Mean:; 1608.361721; 60.968865; GPU Time 3 Mean:; 233.025089; 11.471471; GPU Time 4 Mean:; 38.163689; 0.031242; GPU Time 5 Mean:; 1308.643687; 32.907349; GPU Time 6 Mean:; 0.489020; 0.006096; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.177370; 0.000053; Global Max Mean:; 0.819234; 0.000183; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1851.990347; 70.450626; GPU Time 2 Mean:; 1809.465212; 71.555439; GPU Time 3 Mean:; 262.240343; 11.948984; GPU Time 4 Mean:; 42.921051; 0.036727; GPU Time 5 Mean:; 1472.249353; 39.716831; GPU Time 6 Mean:; 0.551834; 0.007709; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.176640; 0.000069; Global Max Mean:; 0.820335; 0.000187; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX add CPU time 4; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2057.839758; 83.243827; GPU Time 2 Mean:; 2010.596538; 84.869414; GPU Time 3 Mean:; 291.480430; 13.584309; GPU Time 4 Mean:; 47.691486; 0.036274; GPU Time 5 Mean:; 1635.748672; 46.415796; GPU Time 6 Mean:; 0.612362; 0.009158; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.175684; 0.000086; Global Max Mean:; 0.821857; 0.000193; Hash Fail Count Mean:; 0.040000; 0.038400;
Time non CUDA AVX add CPU time 4; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2263.591235; 98.195560; GPU Time 2 Mean:; 2211.640669; 100.501451; GPU Time 3 Mean:; 320.628112; 16.814710; GPU Time 4 Mean:; 52.457103; 0.035143; GPU Time 5 Mean:; 1799.269648; 55.114299; GPU Time 6 Mean:; 0.673198; 0.010988; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.175011; 0.000089; Global Max Mean:; 0.823258; 0.000180; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX add CPU time 4; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2469.408877; 118.433366; GPU Time 2 Mean:; 2412.740522; 121.355548; GPU Time 3 Mean:; 349.854736; 20.962222; GPU Time 4 Mean:; 57.221067; 0.038654; GPU Time 5 Mean:; 1962.805557; 65.272747; GPU Time 6 Mean:; 0.734304; 0.013039; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.174335; 0.000098; Global Max Mean:; 0.824680; 0.000186; Hash Fail Count Mean:; 0.100000; 0.090000;
Time non CUDA AVX add CPU time 4; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2675.112842; 141.676320; GPU Time 2 Mean:; 2613.724146; 145.329549; GPU Time 3 Mean:; 379.080353; 25.532937; GPU Time 4 Mean:; 61.990908; 0.039543; GPU Time 5 Mean:; 2126.225439; 75.228957; GPU Time 6 Mean:; 0.793900; 0.014711; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.173999; 0.000097; Global Max Mean:; 0.827984; 0.000157; Hash Fail Count Mean:; 0.160000; 0.174400;
Time non CUDA AVX add CPU time 4; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2880.913501; 165.259605; GPU Time 2 Mean:; 2814.798691; 169.409912; GPU Time 3 Mean:; 408.198216; 28.082849; GPU Time 4 Mean:; 66.752067; 0.042340; GPU Time 5 Mean:; 2289.840474; 88.443144; GPU Time 6 Mean:; 0.853378; 0.016170; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.172867; 0.000115; Global Max Mean:; 0.829389; 0.000139; Hash Fail Count Mean:; 0.160000; 0.174400;
Time non CUDA AVX add CPU time 4; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3086.784751; 186.876605; GPU Time 2 Mean:; 3015.962202; 191.738516; GPU Time 3 Mean:; 437.436904; 30.307902; GPU Time 4 Mean:; 71.522336; 0.045372; GPU Time 5 Mean:; 2453.357080; 101.811719; GPU Time 6 Mean:; 0.915210; 0.017969; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.172180; 0.000124; Global Max Mean:; 0.830176; 0.000118; Hash Fail Count Mean:; 0.200000; 0.240000;
Time non CUDA AVX add CPU time 4; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3292.441074; 211.294223; GPU Time 2 Mean:; 3216.900698; 216.841243; GPU Time 3 Mean:; 466.722556; 32.866396; GPU Time 4 Mean:; 76.288376; 0.048782; GPU Time 5 Mean:; 2616.703916; 117.366087; GPU Time 6 Mean:; 0.975112; 0.019633; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.171306; 0.000132; Global Max Mean:; 0.830784; 0.000106; Hash Fail Count Mean:; 0.220000; 0.331600;
Time non CUDA AVX add CPU time 4; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3498.010889; 231.344781; GPU Time 2 Mean:; 3417.752275; 237.297743; GPU Time 3 Mean:; 495.874637; 35.521803; GPU Time 4 Mean:; 81.056998; 0.050219; GPU Time 5 Mean:; 2780.050229; 132.358626; GPU Time 6 Mean:; 1.033607; 0.020611; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.171293; 0.000132; Global Max Mean:; 0.831261; 0.000095; Hash Fail Count Mean:; 0.280000; 0.401600;
Time non CUDA AVX add CPU time 4; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3703.656963; 252.413128; GPU Time 2 Mean:; 3618.678154; 258.417053; GPU Time 3 Mean:; 525.117594; 36.292129; GPU Time 4 Mean:; 85.815861; 0.053646; GPU Time 5 Mean:; 2943.416587; 148.319508; GPU Time 6 Mean:; 1.095003; 0.023401; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.171272; 0.000131; Global Max Mean:; 0.831493; 0.000095; Hash Fail Count Mean:; 0.340000; 0.464400;
Time non CUDA AVX add CPU time 4; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 3909.401406; 276.911272; GPU Time 2 Mean:; 3819.685132; 283.481607; GPU Time 3 Mean:; 554.338826; 38.754294; GPU Time 4 Mean:; 90.590722; 0.055899; GPU Time 5 Mean:; 3106.891089; 164.945737; GPU Time 6 Mean:; 1.155429; 0.025528; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.171257; 0.000131; Global Max Mean:; 0.832444; 0.000069; Hash Fail Count Mean:; 0.380000; 0.475600;
Time non CUDA AVX add CPU time 4; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 4114.985835; 297.616273; GPU Time 2 Mean:; 4020.543911; 304.768891; GPU Time 3 Mean:; 583.449874; 39.910552; GPU Time 4 Mean:; 95.357590; 0.059691; GPU Time 5 Mean:; 3270.304678; 178.069048; GPU Time 6 Mean:; 1.214719; 0.027088; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.170671; 0.000132; Global Max Mean:; 0.832464; 0.000070; Hash Fail Count Mean:; 0.380000; 0.475600;
