Time non CUDA AVX add CPU time 4; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 912.262332; 19.346248; GPU Time 2 Mean:; 890.979409; 19.948150; GPU Time 3 Mean:; 127.345297; 4.907492; GPU Time 4 Mean:; 21.417918; 0.005704; GPU Time 5 Mean:; 710.586559; 8.401930; GPU Time 6 Mean:; 0.386540; 0.010825; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.072525; 0.000154; Global Max Mean:; 0.928315; 0.000096; Hash Fail Count Mean:; 0.000000; 0.000000;
Time non CUDA AVX add CPU time 4; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1013.393820; 19.808389; GPU Time 2 Mean:; 989.761940; 20.452638; GPU Time 3 Mean:; 141.476521; 5.761146; GPU Time 4 Mean:; 23.797913; 0.008541; GPU Time 5 Mean:; 789.333187; 8.011028; GPU Time 6 Mean:; 0.431226; 0.013058; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.071547; 0.000151; Global Max Mean:; 0.929806; 0.000083; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX add CPU time 4; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1114.567178; 25.587382; GPU Time 2 Mean:; 1088.569802; 26.251301; GPU Time 3 Mean:; 155.600190; 6.693821; GPU Time 4 Mean:; 26.173250; 0.009077; GPU Time 5 Mean:; 868.147607; 10.613504; GPU Time 6 Mean:; 0.471414; 0.014360; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.069369; 0.000154; Global Max Mean:; 0.931892; 0.000092; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX add CPU time 4; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1215.830720; 28.216239; GPU Time 2 Mean:; 1187.467820; 28.945606; GPU Time 3 Mean:; 169.775424; 7.466178; GPU Time 4 Mean:; 28.555916; 0.012918; GPU Time 5 Mean:; 947.020928; 12.007278; GPU Time 6 Mean:; 0.515268; 0.016639; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.068591; 0.000141; Global Max Mean:; 0.932971; 0.000071; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX add CPU time 4; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1317.084092; 32.374518; GPU Time 2 Mean:; 1286.360476; 33.315433; GPU Time 3 Mean:; 183.940497; 7.640117; GPU Time 4 Mean:; 30.932267; 0.013762; GPU Time 5 Mean:; 1025.876993; 14.702955; GPU Time 6 Mean:; 0.554784; 0.018151; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.068591; 0.000141; Global Max Mean:; 0.933727; 0.000080; Hash Fail Count Mean:; 0.020000; 0.019600;
Time non CUDA AVX add CPU time 4; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1418.185237; 34.406494; GPU Time 2 Mean:; 1385.110437; 35.503784; GPU Time 3 Mean:; 198.092648; 7.967590; GPU Time 4 Mean:; 33.305738; 0.013998; GPU Time 5 Mean:; 1104.578977; 16.471521; GPU Time 6 Mean:; 0.594160; 0.019616; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.066624; 0.000137; Global Max Mean:; 0.934428; 0.000089; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX add CPU time 4; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1519.362583; 41.029286; GPU Time 2 Mean:; 1483.926077; 42.301528; GPU Time 3 Mean:; 212.171427; 8.214150; GPU Time 4 Mean:; 35.678853; 0.015043; GPU Time 5 Mean:; 1183.402969; 21.949775; GPU Time 6 Mean:; 0.634836; 0.022288; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.066457; 0.000133; Global Max Mean:; 0.935002; 0.000094; Hash Fail Count Mean:; 0.060000; 0.056400;
Time non CUDA AVX add CPU time 4; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1620.386145; 43.034774; GPU Time 2 Mean:; 1582.596665; 44.526060; GPU Time 3 Mean:; 226.286150; 8.592886; GPU Time 4 Mean:; 38.050717; 0.015382; GPU Time 5 Mean:; 1262.101274; 23.743804; GPU Time 6 Mean:; 0.673978; 0.024380; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.065828; 0.000135; Global Max Mean:; 0.935690; 0.000105; Hash Fail Count Mean:; 0.120000; 0.105600;
Time non CUDA AVX add CPU time 4; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1721.699216; 46.508837; GPU Time 2 Mean:; 1681.549905; 47.995359; GPU Time 3 Mean:; 240.388116; 8.824961; GPU Time 4 Mean:; 40.426677; 0.020323; GPU Time 5 Mean:; 1341.066885; 27.544898; GPU Time 6 Mean:; 0.713552; 0.027193; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.065101; 0.000126; Global Max Mean:; 0.935690; 0.000105; Hash Fail Count Mean:; 0.160000; 0.134400;
Time non CUDA AVX add CPU time 4; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1822.764878; 47.205859; GPU Time 2 Mean:; 1780.262844; 48.769515; GPU Time 3 Mean:; 254.446842; 9.040083; GPU Time 4 Mean:; 42.800124; 0.021381; GPU Time 5 Mean:; 1419.821597; 28.414262; GPU Time 6 Mean:; 0.752960; 0.029500; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.062509; 0.000099; Global Max Mean:; 0.936095; 0.000104; Hash Fail Count Mean:; 0.240000; 0.182400;
Time non CUDA AVX add CPU time 4; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 1923.953606; 58.276363; GPU Time 2 Mean:; 1879.098572; 59.998720; GPU Time 3 Mean:; 268.652101; 9.520974; GPU Time 4 Mean:; 45.179837; 0.025790; GPU Time 5 Mean:; 1498.552151; 31.672960; GPU Time 6 Mean:; 0.799987; 0.035630; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.062509; 0.000099; Global Max Mean:; 0.936895; 0.000112; Hash Fail Count Mean:; 0.280000; 0.201600;
Time non CUDA AVX add CPU time 4; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 2025.187480; 65.470078; GPU Time 2 Mean:; 1977.977705; 67.439690; GPU Time 3 Mean:; 282.878196; 10.140581; GPU Time 4 Mean:; 47.560002; 0.033964; GPU Time 5 Mean:; 1577.305142; 35.076423; GPU Time 6 Mean:; 0.849699; 0.049512; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.061106; 0.000096; Global Max Mean:; 0.937918; 0.000114; Hash Fail Count Mean:; 0.300000; 0.250000;
