non CUDA; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 18; 450; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 19; 475; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA; 20; 500; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 0.000000; 0.000000; GPU Time 2 Mean:; 0.000000; 0.000000; GPU Time 3 Mean:; 0.000000; 0.000000; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 0.000000; 0.000000; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.000000; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.000000; 0.000000; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 1; 25; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 27.192382; 0.375713; GPU Time 2 Mean:; 27.150250; 0.374171; GPU Time 3 Mean:; 1.595180; 0.005862; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 1.664404; 0.003330; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001233; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.996019; 0.000002; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 2; 50; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 53.815752; 0.843021; GPU Time 2 Mean:; 53.731280; 0.839782; GPU Time 3 Mean:; 3.155152; 0.008058; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 3.297082; 0.006866; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001231; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.996787; 0.000003; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 3; 75; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 80.183184; 1.304879; GPU Time 2 Mean:; 80.058528; 1.298109; GPU Time 3 Mean:; 4.720336; 0.012717; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 4.925632; 0.009860; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001230; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.997264; 0.000003; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 4; 100; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 106.451148; 1.847923; GPU Time 2 Mean:; 106.286232; 1.841461; GPU Time 3 Mean:; 6.270700; 0.014548; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 6.530816; 0.011607; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001230; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.997884; 0.000003; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 5; 125; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 132.855722; 2.833268; GPU Time 2 Mean:; 132.650458; 2.823677; GPU Time 3 Mean:; 7.837352; 0.024883; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 8.149948; 0.016979; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001230; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.998221; 0.000003; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA non hash; 6; 150; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 159.101690; 3.674656; GPU Time 2 Mean:; 158.856754; 3.663969; GPU Time 3 Mean:; 9.380968; 0.028307; GPU Time 4 Mean:; 0.000000; 0.000000; GPU Time 5 Mean:; 9.752388; 0.022888; GPU Time 6 Mean:; 0.000000; 0.000000; GPU Time 7 Mean:; 0.000000; 0.000000; GPU Time 8 Mean:; 0.001230; 0.000000; Global Min Mean:; 0.000000; 0.000000; Global Max Mean:; 0.998355; 0.000003; Hash Fail Count Mean:; 0.000000; 0.000000;
