non CUDA transp_AVX Time; 8; 200; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5118.020770; 65.671121; GPU Time 2 Mean:; 5110.413270; 65.739572; GPU Time 3 Mean:; 368.366696; 5.448015; GPU Time 4 Mean:; 504.482828; 92.867315; GPU Time 5 Mean:; 169.543092; 0.742331; GPU Time 6 Mean:; 153.387874; 22.067457; GPU Time 7 Mean:; 172.134212; 17.634997; GPU Time 8 Mean:; 4231.154448; 101.365869; Global Min Mean:; 0.283202; 0.000026; Global Max Mean:; 0.716195; 0.000085; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 9; 225; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 5757.730904; 72.060645; GPU Time 2 Mean:; 5749.179700; 72.159898; GPU Time 3 Mean:; 414.438672; 6.766746; GPU Time 4 Mean:; 567.792134; 125.149594; GPU Time 5 Mean:; 190.738672; 0.993849; GPU Time 6 Mean:; 172.729248; 29.495073; GPU Time 7 Mean:; 193.726914; 23.647636; GPU Time 8 Mean:; 4759.734880; 130.455948; Global Min Mean:; 0.282524; 0.000016; Global Max Mean:; 0.716608; 0.000085; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 10; 250; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 6397.669668; 77.230061; GPU Time 2 Mean:; 6388.165866; 77.238806; GPU Time 3 Mean:; 460.503904; 8.190949; GPU Time 4 Mean:; 631.226688; 159.978760; GPU Time 5 Mean:; 211.946992; 1.222452; GPU Time 6 Mean:; 192.104014; 37.873011; GPU Time 7 Mean:; 215.397362; 30.080040; GPU Time 8 Mean:; 5288.412758; 164.780929; Global Min Mean:; 0.282459; 0.000016; Global Max Mean:; 0.717130; 0.000083; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 11; 275; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7036.960964; 78.699687; GPU Time 2 Mean:; 7026.513780; 78.799942; GPU Time 3 Mean:; 506.540712; 9.692106; GPU Time 4 Mean:; 694.116174; 195.778219; GPU Time 5 Mean:; 233.121840; 1.488313; GPU Time 6 Mean:; 211.216138; 46.022535; GPU Time 7 Mean:; 236.827464; 36.789522; GPU Time 8 Mean:; 5817.033874; 187.452594; Global Min Mean:; 0.282341; 0.000016; Global Max Mean:; 0.717629; 0.000081; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 12; 300; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 7676.044936; 81.822360; GPU Time 2 Mean:; 7664.651248; 81.899788; GPU Time 3 Mean:; 552.618374; 11.358970; GPU Time 4 Mean:; 757.381252; 203.438258; GPU Time 5 Mean:; 254.317628; 1.565593; GPU Time 6 Mean:; 230.489960; 48.370788; GPU Time 7 Mean:; 258.444784; 37.915507; GPU Time 8 Mean:; 6345.027296; 196.094741; Global Min Mean:; 0.281865; 0.000024; Global Max Mean:; 0.718366; 0.000076; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 13; 325; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 8316.199322; 79.803368; GPU Time 2 Mean:; 8303.864782; 79.917603; GPU Time 3 Mean:; 598.644236; 13.446845; GPU Time 4 Mean:; 820.635706; 207.630847; GPU Time 5 Mean:; 275.488984; 1.614317; GPU Time 6 Mean:; 249.791378; 49.519988; GPU Time 7 Mean:; 280.050014; 38.437459; GPU Time 8 Mean:; 6874.162182; 199.710441; Global Min Mean:; 0.281812; 0.000024; Global Max Mean:; 0.719111; 0.000072; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 14; 350; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 8956.262266; 93.530366; GPU Time 2 Mean:; 8942.982056; 93.617570; GPU Time 3 Mean:; 644.710752; 15.810181; GPU Time 4 Mean:; 883.970274; 218.109602; GPU Time 5 Mean:; 296.701886; 1.760212; GPU Time 6 Mean:; 269.079844; 51.637794; GPU Time 7 Mean:; 301.704116; 40.442707; GPU Time 8 Mean:; 7403.076654; 202.966140; Global Min Mean:; 0.281369; 0.000032; Global Max Mean:; 0.719575; 0.000069; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 15; 375; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 9596.070392; 107.402524; GPU Time 2 Mean:; 9581.844608; 107.282339; GPU Time 3 Mean:; 690.779224; 18.096261; GPU Time 4 Mean:; 947.209300; 218.735888; GPU Time 5 Mean:; 317.897052; 1.818343; GPU Time 6 Mean:; 288.313610; 51.617371; GPU Time 7 Mean:; 323.336376; 40.605499; GPU Time 8 Mean:; 7931.832112; 214.031663; Global Min Mean:; 0.281324; 0.000031; Global Max Mean:; 0.719723; 0.000070; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 16; 400; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 10236.103784; 110.765401; GPU Time 2 Mean:; 10220.932020; 110.652257; GPU Time 3 Mean:; 736.873676; 20.729699; GPU Time 4 Mean:; 1010.411022; 224.564454; GPU Time 5 Mean:; 339.076318; 1.795441; GPU Time 6 Mean:; 307.596948; 53.061139; GPU Time 7 Mean:; 344.895784; 41.954903; GPU Time 8 Mean:; 8460.823698; 216.099958; Global Min Mean:; 0.281291; 0.000031; Global Max Mean:; 0.720372; 0.000071; Hash Fail Count Mean:; 0.000000; 0.000000;
non CUDA transp_AVX Time; 17; 425; Duration Mean:; 0.000000; 0.000000; GPU Time 1 Mean:; 10875.796278; 122.413851; GPU Time 2 Mean:; 10859.686776; 122.201206; GPU Time 3 Mean:; 782.932404; 23.164336; GPU Time 4 Mean:; 1073.433826; 222.610940; GPU Time 5 Mean:; 360.240004; 1.832304; GPU Time 6 Mean:; 326.750242; 52.620095; GPU Time 7 Mean:; 366.422890; 41.606819; GPU Time 8 Mean:; 8989.697264; 220.055295; Global Min Mean:; 0.281262; 0.000031; Global Max Mean:; 0.720820; 0.000067; Hash Fail Count Mean:; 0.000000; 0.000000;
